search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,activation,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter
3,3,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.055131892677757914), 'hidden_layer_sizes': (100, 100, 100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.02606224630288021), 'max_iter': 410}",logistic,0.055131892677757914,"(100, 100, 100, 100)",invscaling,0.02606224630288021,410
3,4,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.10337810685505384), 'hidden_layer_sizes': (100, 100, 50, 50), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.08177040521422248), 'max_iter': 394}",logistic,0.10337810685505384,"(100, 100, 50, 50)",adaptive,0.08177040521422248,394
3,5,0.4894084690766565,0.0062161579483926074,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.062241454783946666), 'hidden_layer_sizes': (50, 100, 200, 300), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.057815889153277567), 'max_iter': 465}",relu,0.062241454783946666,"(50, 100, 200, 300)",constant,0.057815889153277567,465
3,6,0.5086531005829649,0.022974468751494115,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.10326497497503154), 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0060816156714461386), 'max_iter': 454}",relu,0.10326497497503154,"(100, 100, 100)",constant,0.0060816156714461386,454
3,7,0.4980367956442005,0.021574310592213083,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.02338220688982099), 'hidden_layer_sizes': (100, 100, 100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.09182086794740443), 'max_iter': 330}",relu,0.02338220688982099,"(100, 100, 100, 100)",invscaling,0.09182086794740443,330
3,8,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.055281099619834025), 'hidden_layer_sizes': (50, 50, 50, 50), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.017799449927611878), 'max_iter': 453}",logistic,0.055281099619834025,"(50, 50, 50, 50)",adaptive,0.017799449927611878,453
3,9,0.4791253156698194,0.022276773136132223,0.7707657503150525,0.01906970440035344,"{'activation': 'logistic', 'alpha': np.float64(0.051902689863708946), 'hidden_layer_sizes': (100, 50, 200), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.025632515275366852), 'max_iter': 295}",logistic,0.051902689863708946,"(100, 50, 200)",invscaling,0.025632515275366852,295
4,0,0.4957619055770617,0.03341597619448686,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.1021024375779966), 'hidden_layer_sizes': (50, 100, 200, 300), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.09106962821330278), 'max_iter': 590}",relu,0.1021024375779966,"(50, 100, 200, 300)",adaptive,0.09106962821330278,590
4,1,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.026795398770768378), 'hidden_layer_sizes': (300, 200, 100, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.06459775740363477), 'max_iter': 556}",logistic,0.026795398770768378,"(300, 200, 100, 50)",constant,0.06459775740363477,556
4,2,0.5047670892613236,0.020451656185241456,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.017096498171752753), 'hidden_layer_sizes': (200, 300, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.04473709085345581), 'max_iter': 332}",relu,0.017096498171752753,"(200, 300, 100)",adaptive,0.04473709085345581,332
4,3,0.509332803040204,0.019475866344508947,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.042630812552313276), 'hidden_layer_sizes': (100, 50, 100, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.04687810775328689), 'max_iter': 431}",relu,0.042630812552313276,"(100, 50, 100, 50)",constant,0.04687810775328689,431
4,4,0.5015296651892257,0.018254988763962712,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.07865062209844174), 'hidden_layer_sizes': (300, 200, 100, 50), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.08304506324187891), 'max_iter': 518}",relu,0.07865062209844174,"(300, 200, 100, 50)",adaptive,0.08304506324187891,518
4,5,0.5117443084082024,0.03249931074740619,1.0,0.0,"{'activation': 'tanh', 'alpha': np.float64(0.05735369529888239), 'hidden_layer_sizes': (100, 50, 200), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.03311125467217425), 'max_iter': 575}",tanh,0.05735369529888239,"(100, 50, 200)",invscaling,0.03311125467217425,575
4,6,0.5063563469623908,0.030103132451627376,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.038086205571640025), 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.06651763148902096), 'max_iter': 251}",relu,0.038086205571640025,"(100, 100, 100)",invscaling,0.06651763148902096,251
4,7,0.4994953646696899,0.023974314046566615,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.04579072596621733), 'hidden_layer_sizes': (50, 50, 50, 50), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.09542989248253482), 'max_iter': 531}",relu,0.04579072596621733,"(50, 50, 50, 50)",adaptive,0.09542989248253482,531
4,8,0.5034073462456917,0.00778614458050509,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.04594267458347698), 'hidden_layer_sizes': (200, 200, 200), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.0895231274406199), 'max_iter': 331}",relu,0.04594267458347698,"(200, 200, 200)",invscaling,0.0895231274406199,331
4,9,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.04622084425176985), 'hidden_layer_sizes': (200, 200, 200, 200), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.05729017979357266), 'max_iter': 347}",logistic,0.04622084425176985,"(200, 200, 200, 200)",adaptive,0.05729017979357266,347
5,0,0.5073208716968068,0.014590422666044397,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.05927241002836761), 'hidden_layer_sizes': (200, 200, 200), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.08680777251114996), 'max_iter': 568}",relu,0.05927241002836761,"(200, 200, 200)",invscaling,0.08680777251114996,568
5,1,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.02915328078093994), 'hidden_layer_sizes': (300, 200, 100, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.015329816712421541), 'max_iter': 446}",logistic,0.02915328078093994,"(300, 200, 100, 50)",constant,0.015329816712421541,446
5,2,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.018407011331144887), 'hidden_layer_sizes': (100, 50, 100, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.015572859407353767), 'max_iter': 467}",logistic,0.018407011331144887,"(100, 50, 100, 50)",constant,0.015572859407353767,467
5,3,0.502229293724923,0.01708184478785614,1.0,0.0,"{'activation': 'tanh', 'alpha': np.float64(0.10754016608943531), 'hidden_layer_sizes': (100, 100, 100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.0928643038875206), 'max_iter': 520}",tanh,0.10754016608943531,"(100, 100, 100, 100)",invscaling,0.0928643038875206,520
