search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,learning_rate,n_epochs,prototypes_per_class
4,0,0.47974957564092424,0.008082467981436286,0.741086634038896,0.010641191455486499,"{'learning_rate': np.float64(0.0029868575817885747), 'n_epochs': 499, 'prototypes_per_class': 86}",0.0029868575817885747,499,86
4,1,0.5105584937163885,0.0185637127758817,0.7505976195150776,0.015371287982697325,"{'learning_rate': np.float64(0.01460203262489129), 'n_epochs': 245, 'prototypes_per_class': 94}",0.01460203262489129,245,94
4,2,0.5188758020841385,0.018507173955613406,0.7567327909054942,0.01190983743594817,"{'learning_rate': np.float64(0.037869448433607435), 'n_epochs': 264, 'prototypes_per_class': 98}",0.037869448433607435,264,98
4,3,0.49811511231367794,0.020456164332686013,0.6759473090492334,0.010717787009412618,"{'learning_rate': np.float64(0.04675077968702478), 'n_epochs': 439, 'prototypes_per_class': 58}",0.04675077968702478,439,58
4,4,0.5016579870143011,0.02690722965242708,0.73549298828942,0.007531388654637116,"{'learning_rate': np.float64(0.05012391437405077), 'n_epochs': 462, 'prototypes_per_class': 92}",0.05012391437405077,462,92
5,0,0.4678617604269095,0.029157138467231235,0.6622325454182879,0.019833049778389723,"{'learning_rate': np.float64(0.010432338104610268), 'n_epochs': 191, 'prototypes_per_class': 50}",0.010432338104610268,191,50
5,1,0.4923202531874208,0.03404578552792198,0.7205661449996236,0.013475873752364104,"{'learning_rate': np.float64(0.007541600912961248), 'n_epochs': 769, 'prototypes_per_class': 69}",0.007541600912961248,769,69
5,2,0.49340442609059804,0.03227334170859845,0.7275580299905243,0.00924835063659074,"{'learning_rate': np.float64(0.008058869221430323), 'n_epochs': 317, 'prototypes_per_class': 73}",0.008058869221430323,317,73
5,3,0.4875667230830384,0.03775099117773894,0.6954097811430581,0.01913432808935016,"{'learning_rate': np.float64(0.003792116954907256), 'n_epochs': 389, 'prototypes_per_class': 59}",0.003792116954907256,389,59
5,4,0.4865240442488622,0.027619809534223418,0.6949654232737548,0.012783422705201707,"{'learning_rate': np.float64(0.09633780537570558), 'n_epochs': 215, 'prototypes_per_class': 79}",0.09633780537570558,215,79
6,0,0.4950529353159415,0.01713905617145245,0.7160772488515732,0.01951026523360079,"{'learning_rate': np.float64(0.004840909594351709), 'n_epochs': 557, 'prototypes_per_class': 65}",0.004840909594351709,557,65
6,1,0.4797313150317737,0.03199472445051141,0.7565995113497755,0.010782985129980353,"{'learning_rate': np.float64(0.010937679451461986), 'n_epochs': 305, 'prototypes_per_class': 90}",0.010937679451461986,305,90
6,2,0.5143785018277404,0.03082747538485079,0.691647539851565,0.01224528350344731,"{'learning_rate': np.float64(0.02882453642370012), 'n_epochs': 353, 'prototypes_per_class': 56}",0.02882453642370012,353,56
6,3,0.4960750846719778,0.02743609748871134,0.6697649069041207,0.011328238338949291,"{'learning_rate': np.float64(0.0019485109296498266), 'n_epochs': 748, 'prototypes_per_class': 51}",0.0019485109296498266,748,51
6,4,0.48013884762085823,0.030187042470656348,0.6294527373620473,0.011745355017999674,"{'learning_rate': np.float64(0.08903855603997905), 'n_epochs': 694, 'prototypes_per_class': 51}",0.08903855603997905,694,51
7,0,0.5039186419169119,0.027204414479550118,0.7452004878240327,0.008439763001374114,"{'learning_rate': np.float64(0.003559430645683817), 'n_epochs': 630, 'prototypes_per_class': 88}",0.003559430645683817,630,88
7,1,0.48865163032180875,0.03285284273930169,0.7418268646016093,0.013799849741484361,"{'learning_rate': np.float64(0.0018743431357156257), 'n_epochs': 360, 'prototypes_per_class': 99}",0.0018743431357156257,360,99
7,2,0.49274631117482287,0.02291610936447856,0.6652047987812326,0.012763108422005676,"{'learning_rate': np.float64(0.07249166363296655), 'n_epochs': 982, 'prototypes_per_class': 60}",0.07249166363296655,982,60
7,3,0.4915840788017397,0.027785443766051063,0.6698799116943439,0.01450929067593103,"{'learning_rate': np.float64(0.013413876030664401), 'n_epochs': 364, 'prototypes_per_class': 51}",0.013413876030664401,364,51
7,4,0.5042443508732791,0.017145385516311534,0.6652139231463972,0.012778083976194466,"{'learning_rate': np.float64(0.016098925498982432), 'n_epochs': 880, 'prototypes_per_class': 51}",0.016098925498982432,880,51
8,0,0.4784362359801356,0.04126018908721322,0.726767862825647,0.00866825918144165,"{'learning_rate': np.float64(0.06641937320264531), 'n_epochs': 527, 'prototypes_per_class': 85}",0.06641937320264531,527,85
8,1,0.5006284646224475,0.036982172918059185,0.6865850408472511,0.01372587345441049,"{'learning_rate': np.float64(0.010936431273710218), 'n_epochs': 944, 'prototypes_per_class': 56}",0.010936431273710218,944,56
8,2,0.4907782579594079,0.027394237468857004,0.6842744211333908,0.02032007418037868,"{'learning_rate': np.float64(0.031493035027883275), 'n_epochs': 580, 'prototypes_per_class': 59}",0.031493035027883275,580,59
8,3,0.4825988449224224,0.01590205818873614,0.7344057304709353,0.01127541481968329,"{'learning_rate': np.float64(0.013011459560114794), 'n_epochs': 762, 'prototypes_per_class': 75}",0.013011459560114794,762,75
8,4,0.5217796376972634,0.032273911608891606,0.7123190326346623,0.011431385890483573,"{'learning_rate': np.float64(0.017236028950857015), 'n_epochs': 617, 'prototypes_per_class': 72}",0.017236028950857015,617,72
9,0,0.5096593729636878,0.0516059560066188,0.7104879807289312,0.003986335760997664,"{'learning_rate': np.float64(0.002356515506061226), 'n_epochs': 924, 'prototypes_per_class': 68}",0.002356515506061226,924,68
9,1,0.5086516972626988,0.017312092128451754,0.7119344531700544,0.004767529416001993,"{'learning_rate': np.float64(0.04610499708641642), 'n_epochs': 766, 'prototypes_per_class': 70}",0.04610499708641642,766,70
9,2,0.4970389303827325,0.02006687331544167,0.7560026990996919,0.010259849885351354,"{'learning_rate': np.float64(0.008432133978086244), 'n_epochs': 831, 'prototypes_per_class': 96}",0.008432133978086244,831,96
9,3,0.49952511732908517,0.024769365101704008,0.7431410860015405,0.013846359085750801,"{'learning_rate': np.float64(0.024279948553216735), 'n_epochs': 423, 'prototypes_per_class': 86}",0.024279948553216735,423,86
9,4,0.46698174334230186,0.032084023500380046,0.6599579273246455,0.012934908143421693,"{'learning_rate': np.float64(0.0010719626246293375), 'n_epochs': 311, 'prototypes_per_class': 56}",0.0010719626246293375,311,56
10,0,0.4975177001683164,0.01910182244491913,0.7138304514895374,0.005551934578910998,"{'learning_rate': np.float64(0.009908752799200948), 'n_epochs': 429, 'prototypes_per_class': 71}",0.009908752799200948,429,71
10,1,0.500404697588271,0.01378785144191898,0.7187870267045207,0.01077039164671721,"{'learning_rate': np.float64(0.0014745205525238526), 'n_epochs': 641, 'prototypes_per_class': 75}",0.0014745205525238526,641,75
10,2,0.5054579017997063,0.021540888315119817,0.7224103823159841,0.007920064100045544,"{'learning_rate': np.float64(0.038392937545779465), 'n_epochs': 885, 'prototypes_per_class': 75}",0.038392937545779465,885,75
10,3,0.4802172846874253,0.029496115232276174,0.693133264898998,0.010755070010212092,"{'learning_rate': np.float64(0.06460710389365724), 'n_epochs': 641, 'prototypes_per_class': 69}",0.06460710389365724,641,69
10,4,0.4874428934187295,0.016861161977393645,0.7039225702742905,0.016921649856875574,"{'learning_rate': np.float64(0.0015099153025473874), 'n_epochs': 834, 'prototypes_per_class': 67}",0.0015099153025473874,834,67
11,0,0.47997692769538675,0.02770075337905975,0.6850561824249526,0.013840617777521132,"{'learning_rate': np.float64(0.009588823852684579), 'n_epochs': 601, 'prototypes_per_class': 57}",0.009588823852684579,601,57
11,1,0.49968922707470204,0.03364587203921074,0.7406857256455984,0.016489276268241006,"{'learning_rate': np.float64(0.019719926591428513), 'n_epochs': 938, 'prototypes_per_class': 83}",0.019719926591428513,938,83
11,2,0.49817811841262294,0.024431782400970208,0.7155553608080697,0.011271391046752878,"{'learning_rate': np.float64(0.027784697551016407), 'n_epochs': 573, 'prototypes_per_class': 73}",0.027784697551016407,573,73
11,3,0.5010022946941637,0.049796657804544946,0.7540217555242112,0.0101543406267644,"{'learning_rate': np.float64(0.008062568930315006), 'n_epochs': 176, 'prototypes_per_class': 94}",0.008062568930315006,176,94
11,4,0.49253164585982095,0.03054433109899455,0.7413875504631792,0.012753971429779043,"{'learning_rate': np.float64(0.002415471523717282), 'n_epochs': 915, 'prototypes_per_class': 84}",0.002415471523717282,915,84
12,0,0.48949555428058467,0.04072826448830889,0.7342235146964378,0.01337290002690567,"{'learning_rate': np.float64(0.016986061780567815), 'n_epochs': 388, 'prototypes_per_class': 80}",0.016986061780567815,388,80
12,1,0.49454277712882266,0.023765427972182448,0.7414583330920328,0.009785154033848055,"{'learning_rate': np.float64(0.0010081821688650574), 'n_epochs': 753, 'prototypes_per_class': 87}",0.0010081821688650574,753,87
12,2,0.5038327974441035,0.01945798265139245,0.7264438872956971,0.009972382051235087,"{'learning_rate': np.float64(0.09908061714005917), 'n_epochs': 442, 'prototypes_per_class': 99}",0.09908061714005917,442,99
12,3,0.5097856995366999,0.014354922036826695,0.7290939902428882,0.013239433297970385,"{'learning_rate': np.float64(0.0469532951403596), 'n_epochs': 577, 'prototypes_per_class': 80}",0.0469532951403596,577,80
12,4,0.4898924953850166,0.031991174827590896,0.6716947125303246,0.011227826786018493,"{'learning_rate': np.float64(0.0020702443069527407), 'n_epochs': 152, 'prototypes_per_class': 65}",0.0020702443069527407,152,65
13,0,0.4841114412441893,0.04229135039691558,0.6890780293671875,0.009452999972304987,"{'learning_rate': np.float64(0.03783878914498532), 'n_epochs': 333, 'prototypes_per_class': 59}",0.03783878914498532,333,59
13,1,0.5069568743478118,0.03113784778767459,0.7477659962366395,0.015424651038379004,"{'learning_rate': np.float64(0.012325301777283857), 'n_epochs': 953, 'prototypes_per_class': 88}",0.012325301777283857,953,88
13,2,0.4826492288494605,0.04166621868863771,0.6863858753244205,0.013903853141223577,"{'learning_rate': np.float64(0.003261998227288739), 'n_epochs': 974, 'prototypes_per_class': 57}",0.003261998227288739,974,57
13,3,0.49204459145633744,0.011769119163609653,0.7636899597965111,0.005780811461991893,"{'learning_rate': np.float64(0.010381635096678844), 'n_epochs': 385, 'prototypes_per_class': 96}",0.010381635096678844,385,96
13,4,0.5159843785562235,0.040371735215175605,0.7418340254877964,0.008730074822328291,"{'learning_rate': np.float64(0.002437405034623515), 'n_epochs': 869, 'prototypes_per_class': 88}",0.002437405034623515,869,88
14,0,0.48269580302966775,0.024894010333852908,0.7119617140212375,0.009072352311592096,"{'learning_rate': np.float64(0.052054864182077915), 'n_epochs': 745, 'prototypes_per_class': 77}",0.052054864182077915,745,77
14,1,0.4998128280273873,0.03838669769062529,0.7458484786201773,0.008122546678934422,"{'learning_rate': np.float64(0.0024620445357841293), 'n_epochs': 451, 'prototypes_per_class': 95}",0.0024620445357841293,451,95
14,2,0.47496155989961525,0.02705608765977925,0.6681186719902994,0.015269442141006787,"{'learning_rate': np.float64(0.0016294690379175735), 'n_epochs': 186, 'prototypes_per_class': 65}",0.0016294690379175735,186,65
14,3,0.47413914709537275,0.013238644971652919,0.69310001109824,0.012541616399693242,"{'learning_rate': np.float64(0.003597947590101374), 'n_epochs': 773, 'prototypes_per_class': 58}",0.003597947590101374,773,58
