search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,metric,n_neighbors,weights
0,50,0.34824714051544214,0.03261226848541701,0.36302405687638467,0.007153265343836479,"{'metric': 'euclidean', 'n_neighbors': 32, 'weights': 'uniform'}",euclidean,32,uniform
0,51,0.36991289903702534,0.025140215827494008,0.4073370886832167,0.0066073267619253745,"{'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'uniform'}",euclidean,14,uniform
0,52,0.3485326446271819,0.031140074454950425,1.0,0.0,"{'metric': 'euclidean', 'n_neighbors': 62, 'weights': 'distance'}",euclidean,62,distance
0,53,0.3669220908913209,0.017994746517114545,1.0,0.0,"{'metric': 'manhattan', 'n_neighbors': 56, 'weights': 'distance'}",manhattan,56,distance
0,54,0.3173708967958621,0.024468699917989056,0.3211964397141305,0.00818417613712896,"{'metric': 'euclidean', 'n_neighbors': 93, 'weights': 'uniform'}",euclidean,93,uniform
0,55,0.3154352001263016,0.023710161607332202,0.3179337116685631,0.008358724179841234,"{'metric': 'manhattan', 'n_neighbors': 93, 'weights': 'uniform'}",manhattan,93,uniform
0,56,0.3865791637626098,0.02237946348623009,0.4516564104601694,0.006291306592639284,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",manhattan,10,uniform
0,57,0.3274537173356425,0.026625725028896687,1.0,0.0,"{'metric': 'euclidean', 'n_neighbors': 85, 'weights': 'distance'}",euclidean,85,distance
0,58,0.32677780085345265,0.019724435051986716,0.325020115046392,0.007255544566025055,"{'metric': 'manhattan', 'n_neighbors': 76, 'weights': 'uniform'}",manhattan,76,uniform
0,59,0.5856207367330828,0.013345933189723753,1.0,0.0,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",manhattan,1,uniform
0,60,0.3362216230509478,0.02144760658820032,1.0,0.0,"{'metric': 'manhattan', 'n_neighbors': 89, 'weights': 'distance'}",manhattan,89,distance
0,61,0.3456127333286956,0.031895452914084674,1.0,0.0,"{'metric': 'euclidean', 'n_neighbors': 65, 'weights': 'distance'}",euclidean,65,distance
0,62,0.34165463915802974,0.01899229385748556,1.0,0.0,"{'metric': 'manhattan', 'n_neighbors': 83, 'weights': 'distance'}",manhattan,83,distance
0,63,0.3180588839188164,0.021454554199044393,0.32385769436989614,0.006871399335977587,"{'metric': 'manhattan', 'n_neighbors': 89, 'weights': 'uniform'}",manhattan,89,uniform
0,64,0.40571066527155863,0.02088486389215704,1.0,0.0,"{'metric': 'manhattan', 'n_neighbors': 32, 'weights': 'distance'}",manhattan,32,distance
0,65,0.3294387473268172,0.017401190240718307,0.33033594637003544,0.00792201515865811,"{'metric': 'manhattan', 'n_neighbors': 79, 'weights': 'uniform'}",manhattan,79,uniform
0,66,0.3982168694115652,0.007685838054355172,0.7271033061031995,0.009581971964287932,"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}",manhattan,2,uniform
0,67,0.33173133086218065,0.024921460987067354,1.0,0.0,"{'metric': 'manhattan', 'n_neighbors': 92, 'weights': 'distance'}",manhattan,92,distance
0,68,0.42717972714362196,0.016565762033798708,0.48647493265612507,0.006473052262172673,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}",manhattan,11,uniform
0,69,0.3481868308437568,0.025877660533369984,0.3631677801898062,0.00893691062790141,"{'metric': 'euclidean', 'n_neighbors': 30, 'weights': 'uniform'}",euclidean,30,uniform
0,70,0.33739396084999196,0.023955593847356814,1.0,0.0,"{'metric': 'euclidean', 'n_neighbors': 80, 'weights': 'distance'}",euclidean,80,distance
0,71,0.4499350617097827,0.011957684397663398,1.0,0.0,"{'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'distance'}",manhattan,18,distance
0,72,0.4371236166129046,0.007595298474638068,0.5542226566982673,0.006669113910028449,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",manhattan,7,uniform
0,73,0.3175882502196622,0.022673859716985614,0.3143867852521852,0.007468059228988598,"{'metric': 'manhattan', 'n_neighbors': 97, 'weights': 'uniform'}",manhattan,97,uniform
0,74,0.31684878238775643,0.02411110221603049,0.3231909123389626,0.009675852333690602,"{'metric': 'euclidean', 'n_neighbors': 82, 'weights': 'uniform'}",euclidean,82,uniform
0,75,0.3643468587492087,0.02018952892677589,0.3999518831262362,0.009501367850498151,"{'metric': 'euclidean', 'n_neighbors': 16, 'weights': 'uniform'}",euclidean,16,uniform
0,76,0.34051773928380713,0.03160650174533152,0.3400141209564314,0.00981892670317005,"{'metric': 'euclidean', 'n_neighbors': 61, 'weights': 'uniform'}",euclidean,61,uniform
0,77,0.3194845419644877,0.025434214057180195,0.32589316327160056,0.00831145495940497,"{'metric': 'euclidean', 'n_neighbors': 85, 'weights': 'uniform'}",euclidean,85,uniform
0,78,0.3855577262760742,0.024185589063424395,1.0,0.0,"{'metric': 'manhattan', 'n_neighbors': 38, 'weights': 'distance'}",manhattan,38,distance
0,79,0.3292511052632108,0.018318885227340497,0.3316517200738259,0.0073349561277729885,"{'metric': 'manhattan', 'n_neighbors': 77, 'weights': 'uniform'}",manhattan,77,uniform
1,0,0.3506018224369337,0.027416088952459793,0.39053737466020194,0.011905766670004998,"{'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}",euclidean,18,uniform
1,1,0.33243857686650163,0.02922872900586233,0.3347557358000315,0.010615815996841206,"{'metric': 'euclidean', 'n_neighbors': 69, 'weights': 'uniform'}",euclidean,69,uniform
1,2,0.3636938163095199,0.02140896344974873,1.0,0.0,"{'metric': 'euclidean', 'n_neighbors': 38, 'weights': 'distance'}",euclidean,38,distance
1,3,0.37208634409044744,0.018092867570610068,1.0,0.0,"{'metric': 'manhattan', 'n_neighbors': 57, 'weights': 'distance'}",manhattan,57,distance
1,4,0.35459743484584094,0.025824826773633718,0.3617159450110304,0.00877588101091432,"{'metric': 'euclidean', 'n_neighbors': 41, 'weights': 'uniform'}",euclidean,41,uniform
1,5,0.3574779960042069,0.018395960396782485,0.3650113951363214,0.006237465701516273,"{'metric': 'manhattan', 'n_neighbors': 45, 'weights': 'uniform'}",manhattan,45,uniform
1,6,0.3274537173356425,0.026625725028896687,1.0,0.0,"{'metric': 'euclidean', 'n_neighbors': 85, 'weights': 'distance'}",euclidean,85,distance
1,7,0.3233744092453302,0.026317272490736426,1.0,0.0,"{'metric': 'euclidean', 'n_neighbors': 94, 'weights': 'distance'}",euclidean,94,distance
1,8,0.31580491434628255,0.023755023001648785,0.3203666630192404,0.007358847925101962,"{'metric': 'euclidean', 'n_neighbors': 95, 'weights': 'uniform'}",euclidean,95,uniform
1,9,0.32043543005484654,0.017064368562493257,0.32163298500657583,0.008967470374727346,"{'metric': 'manhattan', 'n_neighbors': 82, 'weights': 'uniform'}",manhattan,82,uniform
1,10,0.3915467231076969,0.0221363194398828,1.0,0.0,"{'metric': 'euclidean', 'n_neighbors': 26, 'weights': 'distance'}",euclidean,26,distance
1,11,0.3149244810731261,0.023229847217613533,0.3186674681708754,0.007842999118324187,"{'metric': 'euclidean', 'n_neighbors': 92, 'weights': 'uniform'}",euclidean,92,uniform
1,12,0.3237423431979611,0.0193135142040798,0.3272496540794161,0.008993903914701944,"{'metric': 'manhattan', 'n_neighbors': 83, 'weights': 'uniform'}",manhattan,83,uniform
1,13,0.3859412389400816,0.02652461355717772,0.40257041284733275,0.012909892565608474,"{'metric': 'manhattan', 'n_neighbors': 25, 'weights': 'uniform'}",manhattan,25,uniform
1,14,0.5197573250047928,0.010340047016250452,1.0,0.0,"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}",manhattan,8,distance
1,15,0.3371776927985931,0.026386951278881514,1.0,0.0,"{'metric': 'euclidean', 'n_neighbors': 81, 'weights': 'distance'}",euclidean,81,distance
1,16,0.3541405008831441,0.02676537533841931,1.0,0.0,"{'metric': 'euclidean', 'n_neighbors': 55, 'weights': 'distance'}",euclidean,55,distance
1,17,0.3691137163332229,0.021626272539908526,0.36842100417646034,0.008077983783843461,"{'metric': 'manhattan', 'n_neighbors': 43, 'weights': 'uniform'}",manhattan,43,uniform
1,18,0.3643468587492087,0.02018952892677589,0.3999518831262362,0.009501367850498151,"{'metric': 'euclidean', 'n_neighbors': 16, 'weights': 'uniform'}",euclidean,16,uniform
1,19,0.38749022108302367,0.024800380221119887,1.0,0.0,"{'metric': 'manhattan', 'n_neighbors': 36, 'weights': 'distance'}",manhattan,36,distance
1,20,0.34824714051544214,0.03261226848541701,0.36302405687638467,0.007153265343836479,"{'metric': 'euclidean', 'n_neighbors': 32, 'weights': 'uniform'}",euclidean,32,uniform
1,21,0.38243306508515285,0.019631778309387227,1.0,0.0,"{'metric': 'manhattan', 'n_neighbors': 42, 'weights': 'distance'}",manhattan,42,distance
1,22,0.33926449183525603,0.029780051328633504,1.0,0.0,"{'metric': 'euclidean', 'n_neighbors': 73, 'weights': 'distance'}",euclidean,73,distance
1,23,0.3154352001263016,0.023710161607332202,0.3179337116685631,0.008358724179841234,"{'metric': 'manhattan', 'n_neighbors': 93, 'weights': 'uniform'}",manhattan,93,uniform
1,24,0.4770838472111901,0.009244473084192819,1.0,0.0,"{'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'distance'}",manhattan,12,distance
1,25,0.3335159404354052,0.02435680304114831,1.0,0.0,"{'metric': 'manhattan', 'n_neighbors': 96, 'weights': 'distance'}",manhattan,96,distance
