search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,activation,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter,n_networks,solver,voting
1,3,0.02608695652173913,0.034782608695652174,0.05206169780570817,0.03637249100434151,"{'activation': 'relu', 'alpha': np.float64(0.013173570457007278), 'hidden_layer_sizes': (400,), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0077182605495405), 'max_iter': 330, 'n_networks': 3, 'solver': 'adam', 'voting': 'soft'}",relu,0.013173570457007278,"(400,)",adaptive,0.0077182605495405,330,3,adam,soft
1,4,0.0,0.0,0.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.04984371665758302), 'hidden_layer_sizes': (300, 50, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0018423243071008892), 'max_iter': 408, 'n_networks': 7, 'solver': 'adam', 'voting': 'soft'}",relu,0.04984371665758302,"(300, 50, 100)",adaptive,0.0018423243071008892,408,7,adam,soft
1,5,0.0,0.0,0.006805341551104263,0.0055565875612933096,"{'activation': 'tanh', 'alpha': np.float64(0.03286963420340784), 'hidden_layer_sizes': (25, 25, 25), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.00390038992115364), 'max_iter': 265, 'n_networks': 7, 'solver': 'adam', 'voting': 'soft'}",tanh,0.03286963420340784,"(25, 25, 25)",adaptive,0.00390038992115364,265,7,adam,soft
1,6,0.008888888888888889,0.017777777777777778,0.022510712204986984,0.009950810853097444,"{'activation': 'tanh', 'alpha': np.float64(0.02739758371687926), 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.005271994959939305), 'max_iter': 424, 'n_networks': 5, 'solver': 'adam', 'voting': 'soft'}",tanh,0.02739758371687926,"(100,)",adaptive,0.005271994959939305,424,5,adam,soft
1,7,0.0,0.0,0.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.021867504402877547), 'hidden_layer_sizes': (300, 50, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.008759842861797894), 'max_iter': 269, 'n_networks': 5, 'solver': 'adam', 'voting': 'soft'}",relu,0.021867504402877547,"(300, 50, 100)",adaptive,0.008759842861797894,269,5,adam,soft
1,8,0.0,0.0,0.011299723573576174,0.007106471341943631,"{'activation': 'tanh', 'alpha': np.float64(0.09353773327144636), 'hidden_layer_sizes': (25,), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0022621298554021865), 'max_iter': 440, 'n_networks': 7, 'solver': 'adam', 'voting': 'soft'}",tanh,0.09353773327144636,"(25,)",adaptive,0.0022621298554021865,440,7,adam,soft
1,9,0.0,0.0,0.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.011909412688453525), 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0015730361927239413), 'max_iter': 213, 'n_networks': 7, 'solver': 'adam', 'voting': 'soft'}",relu,0.011909412688453525,"(100,)",constant,0.0015730361927239413,213,7,adam,soft
1,10,0.008888888888888889,0.017777777777777778,0.026761011055259454,0.014605174247336188,"{'activation': 'tanh', 'alpha': np.float64(0.019251765277362477), 'hidden_layer_sizes': (200, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0017506643793869718), 'max_iter': 233, 'n_networks': 5, 'solver': 'adam', 'voting': 'soft'}",tanh,0.019251765277362477,"(200, 100)",adaptive,0.0017506643793869718,233,5,adam,soft
1,11,0.03497584541062802,0.032590046554874366,0.055003731079307006,0.023442508867194164,"{'activation': 'tanh', 'alpha': np.float64(0.018164879905468743), 'hidden_layer_sizes': (150, 75), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.007942627393742923), 'max_iter': 219, 'n_networks': 5, 'solver': 'adam', 'voting': 'soft'}",tanh,0.018164879905468743,"(150, 75)",constant,0.007942627393742923,219,5,adam,soft
1,12,0.0,0.0,0.009014300306435139,0.013107740885083152,"{'activation': 'tanh', 'alpha': np.float64(0.041656167883579925), 'hidden_layer_sizes': (100, 300, 50), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.005322217414637342), 'max_iter': 269, 'n_networks': 5, 'solver': 'adam', 'voting': 'soft'}",tanh,0.041656167883579925,"(100, 300, 50)",adaptive,0.005322217414637342,269,5,adam,soft
