search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,C,gamma,kernel
4,4,0.2778128298843266,0.04643744849727748,0.28382145280723525,0.01316930518673626,"{'C': np.float64(26.6374977316116), 'gamma': np.float64(0.015141811663722153), 'kernel': 'linear'}",26.6374977316116,0.015141811663722153,linear
5,0,0.41599849247969817,0.06948549722215022,0.4203700360434238,0.05433512167903024,"{'C': np.float64(29.42092775920111), 'gamma': np.float64(0.027264215787650134), 'kernel': 'sigmoid'}",29.42092775920111,0.027264215787650134,sigmoid
5,1,0.2778128298843266,0.04643744849727748,0.28405765607858235,0.013412063100910377,"{'C': np.float64(15.144803405785952), 'gamma': np.float64(0.012759433315386424), 'kernel': 'linear'}",15.144803405785952,0.012759433315386424,linear
5,2,0.5074471757305854,0.031153394853585595,0.7965350946300191,0.009298673215826194,"{'C': np.float64(34.707322057491396), 'gamma': np.float64(0.035842990142708905), 'kernel': 'rbf'}",34.707322057491396,0.035842990142708905,rbf
5,3,0.37244785348545995,0.03461912076944193,0.32585255065980717,0.01749377877128849,"{'C': np.float64(49.87800875275873), 'gamma': np.float64(0.8127108327424195), 'kernel': 'sigmoid'}",49.87800875275873,0.8127108327424195,sigmoid
5,4,0.13000947003826785,0.028850363321646127,1.0,0.0,"{'C': np.float64(40.49744573584352), 'gamma': np.float64(1.269304328202965), 'kernel': 'rbf'}",40.49744573584352,1.269304328202965,rbf
6,0,0.2778128298843266,0.04643744849727748,0.28382145280723525,0.01316930518673626,"{'C': np.float64(26.78468413147642), 'gamma': np.float64(1.1027381664243947), 'kernel': 'linear'}",26.78468413147642,1.1027381664243947,linear
6,1,0.3496068496068496,0.03455621905862037,0.3223743424107825,0.015418878052901685,"{'C': np.float64(7.202888945813175), 'gamma': np.float64(1.3629190206241295), 'kernel': 'sigmoid'}",7.202888945813175,1.3629190206241295,sigmoid
6,2,0.5111803480633107,0.02965549088702225,0.8760989482619076,0.007425758705041505,"{'C': np.float64(20.926569631952304), 'gamma': np.float64(0.05844720135900776), 'kernel': 'rbf'}",20.926569631952304,0.05844720135900776,rbf
6,3,0.2778128298843266,0.04643744849727748,0.28382145280723525,0.01316930518673626,"{'C': np.float64(52.20507607329057), 'gamma': np.float64(0.012365201013527095), 'kernel': 'linear'}",52.20507607329057,0.012365201013527095,linear
6,4,0.4411817765449698,0.037918944297817066,0.5951588796754241,0.007088171876162585,"{'C': np.float64(54.44008386351884), 'gamma': np.float64(0.012569982674802324), 'kernel': 'rbf'}",54.44008386351884,0.012569982674802324,rbf
