search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,max_depth,min_samples_leaf,min_samples_split,n_estimators
1,6,0.5480875293216471,0.016167616484189056,0.7628053106446864,0.008074470540292419,"{'max_depth': 31, 'min_samples_leaf': 5, 'min_samples_split': 13, 'n_estimators': 261}",31,5,13,261
1,7,0.5263604798836068,0.01572743859641586,0.6176463581169352,0.004199533242427125,"{'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 263}",7,2,4,263
1,8,0.5577338390688322,0.01571251272325629,0.8472181281710993,0.0030097711533377015,"{'max_depth': 32, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 107}",32,4,5,107
1,9,0.536340118031943,0.018312824298507,0.7023993316570174,0.009535851326224578,"{'max_depth': 14, 'min_samples_leaf': 7, 'min_samples_split': 11, 'n_estimators': 27}",14,7,11,27
1,10,0.5236047636703813,0.01966742591976267,0.6049461783385846,0.003462682163995648,"{'max_depth': 8, 'min_samples_leaf': 9, 'min_samples_split': 9, 'n_estimators': 141}",8,9,9,141
1,11,0.5536729912242639,0.016131873792579902,0.8749019115134811,0.004345352001651554,"{'max_depth': 23, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 55}",23,3,8,55
1,12,0.5453870006448766,0.016155583771312983,0.7161058593037295,0.005972837978117702,"{'max_depth': 44, 'min_samples_leaf': 7, 'min_samples_split': 8, 'n_estimators': 150}",44,7,8,150
1,13,0.5384933228646677,0.012373714438869053,0.7002319755074096,0.004765914629630336,"{'max_depth': 44, 'min_samples_leaf': 7, 'min_samples_split': 17, 'n_estimators': 161}",44,7,17,161
1,14,0.5265858394139004,0.018224028923933485,0.5952157236562681,0.004854786977276339,"{'max_depth': 7, 'min_samples_leaf': 4, 'min_samples_split': 14, 'n_estimators': 216}",7,4,14,216
1,15,0.5569742204112489,0.016458675150803938,0.7703935339579268,0.005935072898555618,"{'max_depth': 36, 'min_samples_leaf': 3, 'min_samples_split': 16, 'n_estimators': 59}",36,3,16,59
1,16,0.5433365967278238,0.019135175529683107,0.6903316201275882,0.007500531542147085,"{'max_depth': 23, 'min_samples_leaf': 7, 'min_samples_split': 18, 'n_estimators': 185}",23,7,18,185
1,17,0.5536843958958925,0.018619329028579244,0.7677407495884223,0.004476401435316637,"{'max_depth': 38, 'min_samples_leaf': 5, 'min_samples_split': 12, 'n_estimators': 15}",38,5,12,15
1,18,0.5585481798785015,0.011304539643273714,0.8189990746199631,0.0046905920239389085,"{'max_depth': 37, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 267}",37,4,10,267
