search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,bagging_fraction,bagging_freq,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,min_child_weight,n_estimators,num_leaves
5,7,0.09137516932712644,0.03558781996651735,0.39381746269104945,0.1885823927081641,"{'bagging_fraction': np.float64(0.8768914490106364), 'bagging_freq': 16, 'feature_fraction': np.float64(0.6615175433565843), 'lambda_l1': np.float64(1.1682356468372763), 'lambda_l2': np.float64(2.3304080401994898), 'learning_rate': np.float64(1.7946970495818075), 'max_depth': 11, 'min_child_samples': 70, 'min_child_weight': np.float64(7.324398020184881), 'n_estimators': 101, 'num_leaves': 143}",0.8768914490106364,16,0.6615175433565843,1.1682356468372763,2.3304080401994898,1.7946970495818075,11,70,7.324398020184881,101,143
5,8,0.037583121615369766,0.025230629765701968,0.07673787008012097,0.10560418488917728,"{'bagging_fraction': np.float64(0.4799659457033666), 'bagging_freq': 20, 'feature_fraction': np.float64(0.547966029539309), 'lambda_l1': np.float64(1.745600775280059), 'lambda_l2': np.float64(1.9829996259019556), 'learning_rate': np.float64(1.6094186233449368), 'max_depth': 4, 'min_child_samples': 43, 'min_child_weight': np.float64(14.837896240870016), 'n_estimators': 238, 'num_leaves': 72}",0.4799659457033666,20,0.547966029539309,1.745600775280059,1.9829996259019556,1.6094186233449368,4,43,14.837896240870016,238,72
5,9,0.07091864057668444,0.03206612645467858,0.2426193893902667,0.009370633638861562,"{'bagging_fraction': np.float64(0.49194701682733477), 'bagging_freq': 11, 'feature_fraction': np.float64(0.44200008006592867), 'lambda_l1': np.float64(1.5890744150041585), 'lambda_l2': np.float64(1.8884661042566449), 'learning_rate': np.float64(0.6907175079219332), 'max_depth': 3, 'min_child_samples': 70, 'min_child_weight': np.float64(18.037162065706013), 'n_estimators': 294, 'num_leaves': 134}",0.49194701682733477,11,0.44200008006592867,1.5890744150041585,1.8884661042566449,0.6907175079219332,3,70,18.037162065706013,294,134
5,10,0.06761641407796101,0.014553358159440526,0.24298768754704536,0.0175494024871104,"{'bagging_fraction': np.float64(0.4811266347568691), 'bagging_freq': 15, 'feature_fraction': np.float64(0.3054280873000421), 'lambda_l1': np.float64(2.8005884132328545), 'lambda_l2': np.float64(2.0734413209551055), 'learning_rate': np.float64(0.8380040697256383), 'max_depth': 4, 'min_child_samples': 85, 'min_child_weight': np.float64(18.437476637519808), 'n_estimators': 181, 'num_leaves': 121}",0.4811266347568691,15,0.3054280873000421,2.8005884132328545,2.0734413209551055,0.8380040697256383,4,85,18.437476637519808,181,121
5,11,0.07300789611230016,0.041012108420609275,0.16327711855449664,0.11853655147102815,"{'bagging_fraction': np.float64(0.4811169292957751), 'bagging_freq': 25, 'feature_fraction': np.float64(0.70941854501713), 'lambda_l1': np.float64(1.2040787614827408), 'lambda_l2': np.float64(1.0896194308511904), 'learning_rate': np.float64(1.828463313025872), 'max_depth': 6, 'min_child_samples': 71, 'min_child_weight': np.float64(7.64669579580538), 'n_estimators': 137, 'num_leaves': 123}",0.4811169292957751,25,0.70941854501713,1.2040787614827408,1.0896194308511904,1.828463313025872,6,71,7.64669579580538,137,123
5,12,0.08038996227133273,0.020100323318969788,0.6195904224873704,0.011911549416695547,"{'bagging_fraction': np.float64(0.6019659524446451), 'bagging_freq': 20, 'feature_fraction': np.float64(0.6130151298602795), 'lambda_l1': np.float64(0.7136247231288755), 'lambda_l2': np.float64(1.0460331533790699), 'learning_rate': np.float64(0.8192172557114125), 'max_depth': 7, 'min_child_samples': 27, 'min_child_weight': np.float64(13.383026757919334), 'n_estimators': 139, 'num_leaves': 83}",0.6019659524446451,20,0.6130151298602795,0.7136247231288755,1.0460331533790699,0.8192172557114125,7,27,13.383026757919334,139,83
5,13,0.10577286222290241,0.015527514613634885,0.9899631523953273,0.002402125102370973,"{'bagging_fraction': np.float64(0.8064538573172393), 'bagging_freq': 9, 'feature_fraction': np.float64(0.4045047692198363), 'lambda_l1': np.float64(1.0323932238341458), 'lambda_l2': np.float64(2.4891535557067277), 'learning_rate': np.float64(1.0564404278180595), 'max_depth': 11, 'min_child_samples': 99, 'min_child_weight': np.float64(10.151812181526969), 'n_estimators': 278, 'num_leaves': 75}",0.8064538573172393,9,0.4045047692198363,1.0323932238341458,2.4891535557067277,1.0564404278180595,11,99,10.151812181526969,278,75
5,14,0.08408932892172709,0.030049474653250904,0.43987328624448657,0.3430750821815785,"{'bagging_fraction': np.float64(0.9018121944063898), 'bagging_freq': 19, 'feature_fraction': np.float64(0.7316568693259093), 'lambda_l1': np.float64(0.8061486677125891), 'lambda_l2': np.float64(1.0887113145410088), 'learning_rate': np.float64(1.3508662640717521), 'max_depth': 9, 'min_child_samples': 87, 'min_child_weight': np.float64(15.887263862034672), 'n_estimators': 170, 'num_leaves': 66}",0.9018121944063898,19,0.7316568693259093,0.8061486677125891,1.0887113145410088,1.3508662640717521,9,87,15.887263862034672,170,66
5,15,0.11710503019153506,0.017217150746872655,0.9276157273472201,0.03328939368660296,"{'bagging_fraction': np.float64(0.7592491321498515), 'bagging_freq': 20, 'feature_fraction': np.float64(0.43946724284145866), 'lambda_l1': np.float64(2.2946785002331596), 'lambda_l2': np.float64(0.7686081201424142), 'learning_rate': np.float64(1.1056997534978508), 'max_depth': 9, 'min_child_samples': 75, 'min_child_weight': np.float64(0.1064950671975117), 'n_estimators': 169, 'num_leaves': 53}",0.7592491321498515,20,0.43946724284145866,2.2946785002331596,0.7686081201424142,1.1056997534978508,9,75,0.1064950671975117,169,53
5,16,0.10490645181027687,0.033245637178768175,0.28685337445405185,0.1753440190268471,"{'bagging_fraction': np.float64(0.8414169415947492), 'bagging_freq': 8, 'feature_fraction': np.float64(0.570837602807877), 'lambda_l1': np.float64(1.5516782857272005), 'lambda_l2': np.float64(0.9455417915121351), 'learning_rate': np.float64(1.4613200314770585), 'max_depth': 5, 'min_child_samples': 65, 'min_child_weight': np.float64(9.840228639176063), 'n_estimators': 101, 'num_leaves': 67}",0.8414169415947492,8,0.570837602807877,1.5516782857272005,0.9455417915121351,1.4613200314770585,5,65,9.840228639176063,101,67
