search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,activation,alpha,learning_rate,learning_rate_init,max_iter,hidden_layer_sizes
13,0,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.05297837663925763), 'hidden_layer_sizes': (200, 200, 200, 200), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.04464086719902365), 'max_iter': 249}",logistic,0.05297837663925763,constant,0.04464086719902365,249,"(200, 200, 200, 200)"
13,1,0.07897751855198665,0.054074013673532095,0.9942194227334703,0.003677247148353959,"{'activation': 'relu', 'alpha': np.float64(0.049530496797474816), 'hidden_layer_sizes': (300, 300, 300), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.08422003181467139), 'max_iter': 204}",relu,0.049530496797474816,constant,0.08422003181467139,204,"(300, 300, 300)"
13,2,0.05378919306465783,0.033454472360710655,0.9965183492404893,0.00464782034877962,"{'activation': 'relu', 'alpha': np.float64(0.07670457690473148), 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.04850658963295057), 'max_iter': 311}",relu,0.07670457690473148,constant,0.04850658963295057,311,"(100, 100, 100)"
13,3,0.0753677788460397,0.03414324570654256,0.9942329413328018,0.0036348383423037106,"{'activation': 'tanh', 'alpha': np.float64(0.02368603275597341), 'hidden_layer_sizes': (200, 300, 100), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.0361212417577282), 'max_iter': 210}",tanh,0.02368603275597341,invscaling,0.0361212417577282,210,"(200, 300, 100)"
13,4,0.06955025416400443,0.03988584525226844,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.09182337075999557), 'hidden_layer_sizes': (200, 200, 200), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.03328782933344592), 'max_iter': 525}",relu,0.09182337075999557,constant,0.03328782933344592,525,"(200, 200, 200)"
14,0,0.1570884461450499,0.09216346430679909,0.9953889347646573,0.0023056745784294473,"{'activation': 'tanh', 'alpha': np.float64(0.105158527378484), 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.08235686220559782), 'max_iter': 446}",tanh,0.105158527378484,adaptive,0.08235686220559782,446,"(100, 100, 100)"
14,1,0.09591184070527436,0.01264899365630989,1.0,0.0,"{'activation': 'tanh', 'alpha': np.float64(0.07470261725083521), 'hidden_layer_sizes': (300, 200, 100, 50), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.02137012872183445), 'max_iter': 533}",tanh,0.07470261725083521,adaptive,0.02137012872183445,533,"(300, 200, 100, 50)"
14,2,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.032247479684527715), 'hidden_layer_sizes': (100, 50, 100, 50), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.05481000785931657), 'max_iter': 329}",logistic,0.032247479684527715,invscaling,0.05481000785931657,329,"(100, 50, 100, 50)"
14,3,0.11324431665895081,0.03592836085208951,1.0,0.0,"{'activation': 'tanh', 'alpha': np.float64(0.022188376581285155), 'hidden_layer_sizes': (100, 100, 100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.0819653509221686), 'max_iter': 338}",tanh,0.022188376581285155,invscaling,0.0819653509221686,338,"(100, 100, 100, 100)"
14,4,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.04636194487861808), 'hidden_layer_sizes': (50, 50, 50, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.03160598901714212), 'max_iter': 575}",logistic,0.04636194487861808,constant,0.03160598901714212,575,"(50, 50, 50, 50)"
15,0,0.09122273441013025,0.04236244688054337,0.9942328654004955,2.642444260945176e-05,"{'activation': 'tanh', 'alpha': np.float64(0.10133182852377003), 'hidden_layer_sizes': (200, 300, 100), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.08432060815500944), 'max_iter': 221}",tanh,0.10133182852377003,constant,0.08432060815500944,221,"(200, 300, 100)"
